precinct,cluster,n_2019,n_2024,abs_change,pct_change
1,1,1538.0,2085.0,547.0,35.6
1,2,122.0,68.0,-54.0,-44.3
1,3,132.0,196.0,64.0,48.5
10,1,1288.0,1373.0,85.0,6.6
10,2,65.0,60.0,-5.0,-7.7
10,3,86.0,95.0,9.0,10.5
100,1,728.0,715.0,-13.0,-1.8
100,2,69.0,40.0,-29.0,-42.0
100,3,52.0,62.0,10.0,19.2
101,1,1367.0,1309.0,-58.0,-4.2
101,2,48.0,38.0,-10.0,-20.8
101,3,119.0,97.0,-22.0,-18.5
102,1,1067.0,1774.0,707.0,66.3
102,2,107.0,66.0,-41.0,-38.3
102,3,100.0,115.0,15.0,15.0
103,1,1995.0,3746.0,1751.0,87.8
103,2,61.0,114.0,53.0,86.9
103,3,191.0,264.0,73.0,38.2
104,1,1492.0,2253.0,761.0,51.0
104,2,78.0,80.0,2.0,2.6
104,3,192.0,213.0,21.0,10.9
105,1,2217.0,2488.0,271.0,12.2
105,2,118.0,92.0,-26.0,-22.0
105,3,195.0,197.0,2.0,1.0
106,1,1792.0,2195.0,403.0,22.5
106,2,90.0,47.0,-43.0,-47.8
106,3,142.0,135.0,-7.0,-4.9
107,1,1279.0,1815.0,536.0,41.9
107,2,98.0,84.0,-14.0,-14.3
107,3,235.0,250.0,15.0,6.4
108,1,1229.0,1972.0,743.0,60.5
108,2,97.0,79.0,-18.0,-18.6
108,3,100.0,262.0,162.0,162.0
109,1,2172.0,3466.0,1294.0,59.6
109,2,105.0,95.0,-10.0,-9.5
109,3,360.0,452.0,92.0,25.6
110,1,1747.0,3572.0,1825.0,104.5
110,2,81.0,72.0,-9.0,-11.1
110,3,138.0,251.0,113.0,81.9
111,1,779.0,1185.0,406.0,52.1
111,2,62.0,38.0,-24.0,-38.7
111,3,195.0,330.0,135.0,69.2
112,1,627.0,1013.0,386.0,61.6
112,2,77.0,41.0,-36.0,-46.8
112,3,57.0,112.0,55.0,96.5
113,1,2201.0,2280.0,79.0,3.6
113,2,144.0,61.0,-83.0,-57.6
113,3,186.0,103.0,-83.0,-44.6
114,1,2263.0,3122.0,859.0,38.0
114,2,134.0,126.0,-8.0,-6.0
114,3,204.0,229.0,25.0,12.3
115,1,2019.0,3453.0,1434.0,71.0
115,2,100.0,91.0,-9.0,-9.0
115,3,147.0,239.0,92.0,62.6
116,1,0.0,73.0,73.0,
116,2,2.0,15.0,13.0,650.0
116,3,0.0,3.0,3.0,
120,1,1475.0,2360.0,885.0,60.0
120,2,103.0,86.0,-17.0,-16.5
120,3,110.0,116.0,6.0,5.5
121,1,1143.0,1417.0,274.0,24.0
121,2,102.0,73.0,-29.0,-28.4
121,3,100.0,115.0,15.0,15.0
122,1,883.0,1238.0,355.0,40.2
122,2,64.0,79.0,15.0,23.4
122,3,80.0,101.0,21.0,26.2
123,1,439.0,658.0,219.0,49.9
123,2,58.0,51.0,-7.0,-12.1
123,3,35.0,52.0,17.0,48.6
13,1,2102.0,2008.0,-94.0,-4.5
13,2,128.0,80.0,-48.0,-37.5
13,3,246.0,217.0,-29.0,-11.8
14,1,3072.0,5067.0,1995.0,64.9
14,2,100.0,100.0,0.0,0.0
