complaint_type,n
Illegal Parking,704074
Noise - Residential,612146
HEAT/HOT WATER,477315
Blocked Driveway,307928
Noise - Street/Sidewalk,260915
Request Large Bulky Item Collection,214808
UNSANITARY CONDITION,178721
Street Condition,159613
Water System,129492
Noise,111955
Noise - Commercial,108840
PLUMBING,101909
Street Light Condition,99092
PAINT/PLASTER,98683
Abandoned Vehicle,94505
Noise - Vehicle,91910
Derelict Vehicles,86188
General Construction/Plumbing,85490
Traffic Signal Condition,82982
Rodent,71370
DOOR/WINDOW,70951
WATER LEAK,69863
Sidewalk Condition,67732
Homeless Person Assistance,60629
Dirty Condition,59121
