precinct,month,qol_311,major_felony
1,2019-01-01,0,91
1,2019-02-01,0,97
1,2019-03-01,0,110
1,2019-04-01,0,95
1,2019-05-01,0,109
1,2019-06-01,0,113
1,2019-07-01,0,116
1,2019-08-01,0,123
1,2019-09-01,0,144
1,2019-10-01,0,142
1,2019-11-01,0,114
1,2019-12-01,0,126
1,2024-01-01,0,124
1,2024-02-01,0,128
1,2024-03-01,0,141
1,2024-04-01,0,119
1,2024-05-01,0,177
1,2024-06-01,0,173
1,2024-07-01,0,132
1,2024-08-01,0,154
1,2024-09-01,0,157
1,2024-10-01,0,144
1,2024-11-01,0,151
1,2024-12-01,0,159
10,2019-01-01,0,79
10,2019-02-01,0,65
10,2019-03-01,0,89
10,2019-04-01,0,86
10,2019-05-01,0,94
10,2019-06-01,0,102
10,2019-07-01,0,102
10,2019-08-01,0,94
10,2019-09-01,0,129
10,2019-10-01,0,135
10,2019-11-01,0,104
10,2019-12-01,0,84
10,2024-01-01,0,74
10,2024-02-01,0,93
10,2024-03-01,0,80
10,2024-04-01,0,86
10,2024-05-01,0,95
10,2024-06-01,0,78
10,2024-07-01,0,100
10,2024-08-01,0,108
10,2024-09-01,0,89
10,2024-10-01,0,100
10,2024-11-01,0,87
10,2024-12-01,0,74
100,2019-01-01,0,34
100,2019-02-01,0,31
100,2019-03-01,0,28
100,2019-04-01,0,31
100,2019-05-01,0,44
100,2019-06-01,0,39
100,2019-07-01,0,56
100,2019-08-01,0,47
100,2019-09-01,0,46
100,2019-10-01,0,30
100,2019-11-01,0,32
100,2019-12-01,0,27
100,2024-01-01,0,27
100,2024-02-01,0,44
100,2024-03-01,0,44
100,2024-04-01,0,27
100,2024-05-01,0,53
100,2024-06-01,0,47
100,2024-07-01,0,44
100,2024-08-01,0,50
100,2024-09-01,0,46
100,2024-10-01,0,26
100,2024-11-01,0,36
100,2024-12-01,0,28
101,2019-01-01,0,65
101,2019-02-01,0,57
101,2019-03-01,0,67
101,2019-04-01,0,57
101,2019-05-01,0,67
101,2019-06-01,0,82
101,2019-07-01,0,96
101,2019-08-01,0,81
101,2019-09-01,0,94
101,2019-10-01,0,74
101,2019-11-01,0,68
101,2019-12-01,0,61
101,2024-01-01,0,67
101,2024-02-01,0,54
101,2024-03-01,0,68
101,2024-04-01,0,64
101,2024-05-01,0,60
101,2024-06-01,0,55
101,2024-07-01,0,77
101,2024-08-01,0,98
101,2024-09-01,0,74
101,2024-10-01,0,83
101,2024-11-01,0,63
101,2024-12-01,0,79
102,2019-01-01,0,59
102,2019-02-01,0,41
102,2019-03-01,0,39
102,2019-04-01,0,43
102,2019-05-01,0,61
102,2019-06-01,0,58
102,2019-07-01,0,55
102,2019-08-01,0,69
102,2019-09-01,0,73
102,2019-10-01,0,79
102,2019-11-01,0,75
102,2019-12-01,0,60
102,2024-01-01,0,102
102,2024-02-01,0,114
102,2024-03-01,0,85
102,2024-04-01,0,125
102,2024-05-01,0,105
102,2024-06-01,0,99
