lag,r,p,n,precinct
0,,,24,1
1,,,23,1
2,,,22,1
3,,,21,1
4,,,20,1
5,,,19,1
6,,,18,1
7,,,17,1
8,,,16,1
9,,,15,1
10,,,14,1
11,,,13,1
12,,,12,1
0,,,24,10
1,,,23,10
2,,,22,10
3,,,21,10
4,,,20,10
5,,,19,10
6,,,18,10
7,,,17,10
8,,,16,10
9,,,15,10
10,,,14,10
11,,,13,10
12,,,12,10
0,,,24,100
1,,,23,100
2,,,22,100
3,,,21,100
4,,,20,100
5,,,19,100
6,,,18,100
7,,,17,100
8,,,16,100
9,,,15,100
10,,,14,100
11,,,13,100
12,,,12,100
0,,,24,101
1,,,23,101
2,,,22,101
3,,,21,101
4,,,20,101
5,,,19,101
6,,,18,101
7,,,17,101
8,,,16,101
9,,,15,101
10,,,14,101
11,,,13,101
12,,,12,101
0,,,24,102
1,,,23,102
2,,,22,102
3,,,21,102
4,,,20,102
5,,,19,102
6,,,18,102
7,,,17,102
8,,,16,102
9,,,15,102
10,,,14,102
11,,,13,102
12,,,12,102
0,,,24,103
1,,,23,103
2,,,22,103
3,,,21,103
4,,,20,103
5,,,19,103
6,,,18,103
7,,,17,103
8,,,16,103
9,,,15,103
10,,,14,103
11,,,13,103
12,,,12,103
0,,,24,104
1,,,23,104
2,,,22,104
3,,,21,104
4,,,20,104
5,,,19,104
6,,,18,104
7,,,17,104
8,,,16,104
9,,,15,104
10,,,14,104
11,,,13,104
12,,,12,104
0,,,24,105
1,,,23,105
2,,,22,105
3,,,21,105
4,,,20,105
5,,,19,105
6,,,18,105
7,,,17,105
8,,,16,105
9,,,15,105
10,,,14,105
11,,,13,105
12,,,12,105
0,,,24,106
1,,,23,106
2,,,22,106
3,,,21,106
4,,,20,106
5,,,19,106
6,,,18,106
7,,,17,106
8,,,16,106
9,,,15,106
10,,,14,106
11,,,13,106
12,,,12,106
0,,,24,107
1,,,23,107
2,,,22,107
3,,,21,107
4,,,20,107
5,,,19,107
6,,,18,107
7,,,17,107
8,,,16,107
9,,,15,107
10,,,14,107
11,,,13,107
12,,,12,107
0,,,24,108
1,,,23,108
2,,,22,108
3,,,21,108
4,,,20,108
5,,,19,108
6,,,18,108
7,,,17,108
8,,,16,108
9,,,15,108
10,,,14,108
11,,,13,108
12,,,12,108
0,,,24,109
1,,,23,109
2,,,22,109
3,,,21,109
4,,,20,109
5,,,19,109
6,,,18,109
7,,,17,109
8,,,16,109
9,,,15,109
10,,,14,109
11,,,13,109
12,,,12,109
0,,,24,110
1,,,23,110
2,,,22,110
