precinct,n,source
75,31964,NYPD
40,28190,NYPD
44,25982,NYPD
14,25436,NYPD
43,21915,NYPD
47,21399,NYPD
46,20928,NYPD
52,20510,NYPD
67,20497,NYPD
73,20411,NYPD
103,20074,NYPD
109,19590,NYPD
114,19455,NYPD
18,18956,NYPD
110,18477,NYPD
115,18336,NYPD
42,18064,NYPD
48,17239,NYPD
120,16360,NYPD
19,16295,NYPD
13,16258,NYPD
113,16236,NYPD
105,15886,NYPD
79,15854,NYPD
1,15532,NYPD
25,14579,NYPD
70,14299,NYPD
49,14023,NYPD
83,13880,NYPD
41,13283,NYPD
45,13200,NYPD
32,12997,NYPD
106,12913,NYPD
90,12807,NYPD
104,12731,NYPD
60,12652,NYPD
34,12641,NYPD
62,12632,NYPD
121,12460,NYPD
84,12210,NYPD
23,12200,NYPD
77,11946,NYPD
102,11896,NYPD
108,11885,NYPD
107,11651,NYPD
61,11555,NYPD
71,11352,NYPD
6,11212,NYPD
72,11183,NYPD
28,10549,NYPD
5,10463,NYPD
9,10339,NYPD
81,10337,NYPD
50,10083,NYPD
63,9783,NYPD
101,9572,NYPD
68,9483,NYPD
122,9477,NYPD
7,9408,NYPD
66,9087,NYPD
24,8905,NYPD
33,8692,NYPD
69,8557,NYPD
10,8461,NYPD
20,8280,NYPD
88,8278,NYPD
30,8263,NYPD
112,8085,NYPD
78,8061,NYPD
94,7406,NYPD
17,7159,NYPD
26,6528,NYPD
111,6246,NYPD
100,5660,NYPD
76,5401,NYPD
123,4890,NYPD
22,619,NYPD
116,282,NYPD
Precinct 47,181145,311
Unspecified,154742,311
Precinct 104,148300,311
Precinct 75,146220,311
Precinct 114,139676,311
Precinct 44,134221,311
Precinct 52,130672,311
Precinct 109,128965,311
Precinct 70,123511,311
Precinct 46,117688,311
Precinct 107,115563,311
Precinct 67,114516,311
Precinct 102,111445,311
Precinct 34,110668,311
Precinct 106,109113,311
Precinct 62,108597,311
Precinct 61,107664,311
Precinct 43,103602,311
Precinct 83,103582,311
Precinct 105,102321,311
Precinct 115,95541,311
Precinct 66,93352,311
Precinct 68,90243,311
Precinct 108,89334,311
Precinct 71,87266,311
Precinct 110,87142,311
Precinct 49,85917,311
Precinct 77,85723,311
Precinct 90,82872,311
Precinct 50,82111,311
Precinct 19,80904,311
Precinct 72,79370,311
Precinct 113,78522,311
Precinct 120,76675,311
Precinct 48,76096,311
Precinct 79,75403,311
Precinct 42,74864,311
Precinct 32,73751,311
Precinct 122,73644,311
Precinct 18,70772,311
Precinct 103,70411,311
Precinct 94,70395,311
Precinct 40,69856,311
Precinct 45,69510,311
Precinct 84,69062,311
Precinct 1,67296,311
Precinct 33,67225,311
Precinct 63,67218,311
Precinct 30,67064,311
Precinct 78,66502,311
Precinct 121,63945,311
Precinct 9,63782,311
Precinct 111,63133,311
Precinct 112,62196,311
Precinct 20,62085,311
Precinct 13,60405,311
Precinct 73,58646,311
Precinct 28,53718,311
Precinct 123,53069,311
Precinct 81,52825,311
Precinct 6,52555,311
Precinct 24,52209,311
Precinct 88,48588,311
Precinct 60,46827,311
Precinct 41,44912,311
Precinct 5,39429,311
Precinct 10,39155,311
Precinct 17,38674,311
Precinct 69,38302,311
Precinct 25,37761,311
Precinct 76,37483,311
Precinct 23,36966,311
Precinct 14,35801,311
Precinct 101,34910,311
Precinct 7,33392,311
Precinct 100,30490,311
Precinct 26,26296,311
Precinct 22,4090,311
